FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1526044|Snowflake Lake|Lake|WA|53|King|033|473231N|1212221W|47.5419791|-121.3726272|||||1509|4951|Big Snow Mountain|09/10/1979|05/14/2019
1524133|Packwood Glacier|Glacier|WA|53|Lewis|041|463101N|1212748W|46.5168689|-121.4632382|||||2023|6637|Old Snowy Mountain|09/10/1979|04/10/2019
2769137|Stevenson Post Office|Post Office|WA|53|Skamania|059|454135N|1215259W|45.6931223|-121.8831484|||||40|131|Bonneville Dam|09/17/2015|09/16/2016
2769189|Lilliwaup Post Office|Post Office|WA|53|Mason|045|472739N|1230651W|47.4608665|-123.1140822|||||6|20|Lilliwaup|09/17/2015|09/16/2016
1525734|Sidley Lake|Lake|WA|53|Okanogan|047|485926N|1191323W|48.9905945|-119.2229391|||||1122|3681|Molson|09/10/1979|05/08/2019
1507408|Pickernell Creek|Stream|WA|53|Pacific|049|463258N|1235341W|46.5495443|-123.8946055|463250N|1235048W|46.5473227|-123.8465487|2|7|Nemah|09/10/1979|
1530542|Hamma Hamma|Populated Place|WA|53|Mason|045|473136N|1230305W|47.5267592|-123.0512675|||||14|46|Eldon|03/01/1993|
1524702|Purple Mountain|Summit|WA|53|Chelan|007|481958N|1203650W|48.3328099|-120.6138891|||||2181|7155|Sun Mountain|09/10/1979|09/14/2017
1530071|Peak B|Summit|WA|53|Clallam|009|475414N|1230948W|47.9038869|-123.1633473|||||1866|6122|Tyler Peak|05/01/1992|08/17/2017
2407850|Birch Bay Census Designated Place|Census|WA|53|Whatcom|073|485324N|1224548W|48.8899999|-122.763403|||||35|115|Birch Point|03/11/2008|05/21/2020
1527623|Glines Canyon Dam (historical)|Dam|WA|53|Clallam|009|480007N|1233600W|48.0020335|-123.5999133|||||145|476|Elwha|09/10/1979|08/20/2015
1520420|Gustin Spring|Spring|WA|53|Douglas|017|475011N|1195258W|47.8363216|-119.8826853|||||908|2979|Chelan Falls|09/10/1979|04/19/2011
1504537|Drano Lake|Lake|WA|53|Skamania|059|454248N|1213811W|45.713387|-121.6363772|||||24|79|Mount Defiance|09/10/1979|10/10/2019
1516701|Blue Lake|Lake|WA|53|Okanogan|047|485425N|1192931W|48.9068355|-119.4918831|||||542|1778|Oroville|09/10/1979|05/06/2019
1509970|Homly Channel|Channel|WA|53|Benton|005|460824N|1185846W|46.1401344|-118.9794487|||||104|341|Humorist|08/01/1990|
1509757|Hollywood Hill|Populated Place|WA|53|King|033|474414N|1220738W|47.737321|-122.1273464|||||117|384|Kirkland|12/31/1992|
1509260|Walker Creek|Stream|WA|53|Pacific|049|463423N|1233421W|46.5731581|-123.5723773|463621N|1233323W|46.6058333|-123.5563889|50|164|Lebam|09/10/1979|
1513361|Edgar Brown Memorial Stadium|Park|WA|53|Franklin|021|461406N|1190639W|46.2351349|-119.1108439|||||109|358|Pasco|09/10/1979|
1508302|Shields Creek|Stream|WA|53|Lewis|041|463529N|1231722W|46.5914906|-123.2893108|463606N|1231918W|46.6016667|-123.3216667|110|361|Pe Ell|09/10/1979|
1525507|Schriebers Meadow|Flat|WA|53|Whatcom|073|484210N|1214918W|48.7028959|-121.8215342|||||1062|3484|Baker Pass|09/10/1979|08/10/2015
1526624|Strawberry Lake|Lake|WA|53|Skamania|059|461933N|1220314W|46.3259269|-122.0538998|||||1448|4751|Spirit Lake East|09/10/1979|04/02/2019
1526585|Stonehenge Memorial|Park|WA|53|Klickitat|039|454140N|1204819W|45.6945683|-120.8053403|||||171|561|Biggs Junction|09/10/1979|
1504157|Cottage Lake|Lake|WA|53|King|033|474511N|1220518W|47.7531739|-122.0882987|||||72|236|Maltby|09/10/1979|05/15/2019
1521185|Indian George Creek|Stream|WA|53|Cowlitz|015|455921N|1223043W|45.9892774|-122.5120455|460133N|1222909W|46.0259434|-122.4859347|84|276|Ariel|09/10/1979|
1516420|Benson Lake|Lake|WA|53|Stevens|065|480946N|1173447W|48.1628329|-117.579635|||||836|2743|Nelson Peak|09/10/1979|05/03/2019
2443229|Fowler Field|Airport|WA|53|Okanogan|047|484455N|1191916W|48.7486173|-119.3210524|||||664|2178|Barker Mountain|02/01/2011|05/12/2020
1516327|Beaver Creek|Stream|WA|53|Stevens|065|480551N|1172444W|48.0973973|-117.4121673|480800N|1173016W|48.1332303|-117.5043953|599|1965|Fan Lake|09/10/1979|
1503758|Campbell Lake|Lake|WA|53|Clark|011|454621N|1224507W|45.7724663|-122.7518202|||||3|10|Saint Helens|09/10/1979|04/03/2019
1519999|Glasses Lake|Lake|WA|53|Chelan|007|475033N|1210739W|47.8426249|-121.1274246|||||1411|4629|Captain Point|09/10/1979|05/04/2019
1122189|Ilwaco Channel|Channel|OR|41|Clatsop|007|461740N|1240130W|46.294545|-124.0248754|||||0|0|Cape Disappointment|11/28/1980|
1518018|Conn Creek|Stream|WA|53|Snohomish|061|481311N|1212928W|48.2198317|-121.4912304|481228N|1212534W|48.2077778|-121.4261111|570|1870|White Chuck Mountain|09/10/1979|
1520633|Haystack Mountain|Summit|WA|53|Snohomish|061|474924N|1214037W|47.8232722|-121.6768497|||||829|2720|Gold Bar|09/10/1979|03/07/2020
1529486|The Turtle|Glacier|WA|53|Pierce|053|464947N|1214536W|46.8297072|-121.7599073|||||3095|10154|Mount Rainier West|04/01/1991|05/15/2019
1507010|Norris Slough|Stream|WA|53|Pacific|049|464401N|1235835W|46.7337075|-123.9762798|464428N|1235916W|46.7411111|-123.9877778|2|7|Bay Center|09/10/1979|
2087473|Colville Air Force Station (historical)|Military|WA|53|Stevens|065|483528N|1173518W|48.5911111|-117.5883333|||||1355|4445|Lake Gillette|04/18/2006|03/26/2009
1516668|Blue Buck Ridge|Ridge|WA|53|Okanogan|047|483237N|1195705W|48.5436929|-119.9513961|||||2098|6883|Old Baldy|09/10/1979|03/15/2020
1516766|Bolin Creek|Stream|WA|53|Skamania|059|454803N|1221437W|45.8009471|-122.2437026|454808N|1221253W|45.8022222|-122.2147222|352|1155|Gumboot Mountain|09/10/1979|
1520093|Gold Hill|Summit|WA|53|Okanogan|047|484833N|1194239W|48.8090395|-119.7109083|||||1288|4226|Loomis|09/10/1979|
1512342|Kellys Korner|Populated Place|WA|53|Thurston|067|465905N|1224605W|46.9848189|-122.7681883|||||65|213|East Olympia|09/10/1979|
1504799|Fairchild Creek|Stream|WA|53|Pacific|049|464144N|1233848W|46.6956557|-123.6465484|464236N|1233325W|46.7101007|-123.5568251|15|49|Raymond|09/10/1979|
1533845|Strom Field|Airport|WA|53|Lewis|041|463301N|1221559W|46.55039|-122.26649|||||286|938|Morton|03/01/1990|05/12/2020
1521360|Jet Creek|Stream|WA|53|Okanogan|047|483809N|1204425W|48.6359684|-120.7403858|483838N|1204506W|48.6440238|-120.7517752|1305|4281|Slate Peak|09/10/1979|
1523762|North Fork Cowiche Creek|Stream|WA|53|Yakima|077|463850N|1204054W|46.6473473|-120.681737|463838N|1205839W|46.6440093|-120.9775764|480|1575|Naches|09/10/1979|
1529553|Jackson Spring|Spring|WA|53|Okanogan|047|485842N|1185249W|48.9782315|-118.8803168|||||920|3018|Buckhorn Mountain|10/01/1991|
1511380|Tumtum|Populated Place|WA|53|Stevens|065|475330N|1174059W|47.8915568|-117.6830081|||||473|1552|Tumtum|09/10/1979|
1510928|East Cromwell|Populated Place|WA|53|Pierce|053|471626N|1223615W|47.2739863|-122.6042953|||||52|171|Gig Harbor|09/10/1979|
1517547|Cedar Creek|Stream|WA|53|Yakima|077|465028N|1212148W|46.8412242|-121.3634199|465033N|1212514W|46.8426125|-121.420643|1045|3428|Bumping Lake|09/10/1979|
1526655|Styx Creek|Stream|WA|53|Pend Oreille|051|485726N|1171433W|48.9571495|-117.2424658|485958N|1171405W|48.9994444|-117.2347222|972|3189|Gypsy Peak|09/10/1979|
1523732|North Creek|Stream|WA|53|Okanogan|047|482715N|1203344W|48.4540285|-120.5623211|482848N|1203602W|48.48|-120.6005556|1055|3461|Gilbert|09/10/1979|
1525912|Slate Creek|Stream|WA|53|Jefferson|031|474602N|1235059W|47.7673083|-123.8496353|474438N|1235122W|47.743975|-123.8560233|300|984|Mount Tom|09/10/1979|
1513431|Columbia Point Marina Park|Park|WA|53|Benton|005|461546N|1191515W|46.2629129|-119.2541835|||||109|358|Richland|10/01/1992|
1512353|Kitsap Lake|Populated Place|WA|53|Kitsap|035|473458N|1224231W|47.5828719|-122.7084779|||||73|239|Bremerton West|09/10/1979|
2462177|Interchange 1|Crossing|WA|53|King|033|472750N|1221444W|47.463865|-122.245596|||||7|23|Renton|07/15/2008|
1504020|Cliff Park|Park|WA|53|Spokane|063|473840N|1172507W|47.6443361|-117.4185455|||||686|2251|Spokane NW|09/10/1979|
2584973|Fire Trail Census Designated Place|Census|WA|53|Snohomish|061|480637N|1221206W|48.1101458|-122.201643|||||27|89|Marysville|03/31/2010|
1534182|Memorial Park|Park|WA|53|Kittitas|037|465954N|1203209W|46.9984589|-120.5359027|||||478|1568|Ellensburg South|05/01/1992|
1508695|Starbuck|Populated Place|WA|53|Columbia|013|463111N|1180744W|46.5195882|-118.128845|||||191|627|Starbuck West|09/10/1979|03/21/2008
1528202|Wilson Creek|Stream|WA|53|Skamania|059|454830N|1213846W|45.8084515|-121.646187|454854N|1213641W|45.8151186|-121.6114648|418|1371|Willard|09/10/1979|
1513496|Matsuda Reservoir|Reservoir|WA|53|King|033|472551N|1222759W|47.430764|-122.4663575|||||121|397|Vashon|08/01/1990|05/17/2019
1512246|Goose Egg Hill|Summit|WA|53|Benton|005|462924N|1193352W|46.4901345|-119.564473|||||186|610|Iowa Flats|09/10/1979|
2607446|Sea Breeze Mobile Home Park|Populated Place|WA|53|Jefferson|031|480615N|1224735W|48.1041659|-122.7930776|||||65|213|Port Townsend South|06/07/2010|10/24/2018
1508245|Shamrock Mine|Mine|WA|53|Ferry|019|480845N|1183739W|48.1457157|-118.6275116|||||880|2887|Louie Creek|09/10/1979|
1523356|Moraine Park|Flat|WA|53|Pierce|053|465456N|1214610W|46.9156626|-121.769543|||||1808|5932|Mowich Lake|09/10/1979|
1527200|Tieton Basin|Basin|WA|53|Yakima|077|463956N|1210421W|46.665674|-121.0725785|||||888|2913|Tieton Basin|09/10/1979|
1504089|Colville Springs|Spring|WA|53|Columbia|013|462232N|1181340W|46.3754188|-118.22774|||||513|1683|Waitsburg NW|09/10/1979|05/31/2017
1520095|Gold Hill|Summit|WA|53|Stevens|065|481939N|1174554W|48.3276167|-117.7649867|||||821|2694|Addy|09/10/1979|02/25/2020
1507159|Old Wilbur Lateral|Canal|WA|53|Yakima|077|462733N|1203249W|46.4592934|-120.547009|||||280|919|Harrah|09/10/1979|
1521835|Lake Creek|Stream|WA|53|Lewis|041|463320N|1221742W|46.5556642|-122.2951052|463242N|1221511W|46.545|-122.2530556|270|886|Morton|09/10/1979|
1512468|Minnehaha|Populated Place|WA|53|Clark|011|453932N|1223855W|45.6590058|-122.6487084|||||79|259|Vancouver|09/10/1979|03/21/2008
1503538|Brickel Creek|Stream|WA|53|Spokane|063|475533N|1170003W|47.9257349|-117.0007543|475427N|1170616W|47.9073993|-117.1043712|780|2559|Spirit Lake West|09/10/1979|
1530566|Tracy Point|Cape|WA|53|Stevens|065|480307N|1173812W|48.0518378|-117.636622|||||728|2388|Springdale|03/01/1993|
1505360|Hamilton Island|Island|WA|53|Skamania|059|453751N|1215843W|45.6309505|-121.9786935|||||46|151|Bonneville Dam|09/10/1979|
1505923|Keith Canyon|Valley|WA|53|Whitman|075|463447N|1171750W|46.5796041|-117.2971171|463612N|1171503W|46.6033333|-117.2508333|230|755|Granite Point|09/10/1979|
2355697|Crabapple Creek|Stream|WA|53|Kitsap|035|474728N|1223042W|47.7911111|-122.5116667|474615N|1223037W|47.7708333|-122.5102778|3|10|Port Gamble|10/04/2007|
1511135|McCleary Junction|Populated Place|WA|53|Grays Harbor|027|470405N|1231621W|47.0681507|-123.2723757|||||90|295|McCleary|09/10/1979|
1516962|Bristol|Populated Place|WA|53|Kittitas|037|470840N|1204752W|47.1445663|-120.7978562|||||548|1798|Teanaway|09/10/1979|
